energy,ship_to_asteroid,asteroid_to_base,ship_to_base,success
1501.0,80.18947685112246,164.72013274230912,210.99706340669576,1
2332.0,26.650865980394776,352.32634050162017,334.01204048059253,1
1501.0,146.61418856868866,81.8859331418485,65.87572359187429,1
1721.0,26.85221488488223,438.4997919527685,437.2794206493454,1
1564.0,20.064974422148456,322.8120121753079,342.6974441807888,0
2548.0,27.516151059063024,373.54470654770927,372.44725495188555,1
1695.0,220.5346102768383,127.54114870291626,294.4996805494952,0
1503.0,248.48826264253069,186.89217766081745,185.75250459085726,1
2666.0,21.818576523690243,372.4832437843895,350.66469799624775,1
1501.0,33.61522927819943,216.20225132041807,241.10879029561252,1
1502.0,280.264556946944,314.8449736499166,195.03072543195034,1
1536.0,168.76957555428714,357.8339287840386,194.23871400264073,0
2030.0,23.686883026797666,307.04213899932336,297.53879603983916,1
3517.0,26.155477212330606,29.166127353519805,38.90366928969032,1
2567.0,22.74687357954357,100.01805126157934,122.46038166771359,1
1971.0,22.991014559961563,415.39770960455405,435.99852212630964,1
2727.0,46.391704707417624,516.4464817253527,542.6185918707904,1
4908.0,20.43052992208356,60.89637419066358,44.158795645752164,0
3808.0,25.306305643613875,146.34702788182565,153.65589977197237,1
1994.0,24.55269412244081,42.54115764296514,54.94282396386925,1
2043.0,27.772286579795693,121.57101354231875,144.63902480676148,1
1531.0,99.70215811409226,154.22633181156962,114.04992330527101,1
1722.0,21.56848181764647,130.77526429591373,145.7911808293312,1
2906.0,26.91196550610002,215.64763023775313,203.85376426188338,1
1759.0,66.44295304323624,249.2625285286946,218.92228104621566,1
1791.0,467.22302566230604,183.16607065639676,297.8950784918636,1
2299.0,26.34549793708858,286.62657735133973,261.58097813622203,1
1500.0,29.207718273710142,228.0425521234025,198.8348373639466,1
1777.0,23.638176967568544,231.63396299840204,208.62226739629241,1
1616.0,20.7489565794125,101.22263842631543,121.62095093064096,1
2080.0,27.077202830474945,137.56649623770423,150.14300994232758,1
2334.0,28.586024038301716,165.46974884645127,178.53316282396037,1
2183.0,25.323923642122406,258.2422525931699,265.30663846062146,1
2003.0,674.3271056398825,135.5433032916282,806.7782728013623,0
3838.0,28.2538260599892,250.7142131438723,227.39055472085852,1
1505.0,672.55078527683,218.83433034404666,481.97085292255605,1
1854.0,378.1821888621042,80.84971976355298,302.87709168207186,0
2361.0,27.78229560276034,217.43896132307904,229.50628180952006,1
1501.0,261.36068998039593,237.38451805377122,33.94840952124738,1
1505.0,55.81617794199431,144.0432451329642,197.06022794971685,0
2521.0,21.57350285417691,217.87814125823076,200.03679419123773,1
1502.0,40.7202438218498,65.52080582108627,40.68239057738232,0
1505.0,452.1406416794087,172.62077169505736,298.34735167338204,0
1620.0,395.4935681208638,292.1781750026579,140.72439082473304,1
1552.0,27.363989071931787,245.48337968949164,223.09109193472406,0
2506.0,27.602297440927238,144.39715514699196,167.09423727214784,1
1503.0,106.97023309098172,382.8293691608223,452.0400928993631,0
1614.0,149.62404689840034,294.44415499623364,226.70674057083335,0
2952.0,192.01469485442482,277.0452296621533,286.12252904020147,1
1544.0,42.1550703025736,232.38144132116707,243.51185914854648,1
1502.0,106.88981292697441,226.8710923145521,197.07131849222705,1
1501.0,47.38992111063716,136.07124119441565,180.6884054414398,1
3087.0,20.801037214589208,65.53368942506671,83.3548412003655,1
1530.0,105.17547180770705,98.38965854722233,23.136170357617033,0
1503.0,204.2929298696499,234.84316144269772,116.28506654349455,0
1503.0,50.633041539730755,248.21055073477422,239.9662114659307,0
4386.0,22.958848559119176,113.40072867862598,96.86181160956602,1
1528.0,266.24079090679925,296.8501334394048,30.620850396979893,0
1503.0,65.51577792399735,169.34411881825685,221.04192599727833,1
1505.0,36.11707112563995,307.93079595500797,292.6551236419142,1
2779.0,287.45115029989046,72.37038916309874,355.3787739869011,1
1523.0,134.9382926875494,289.01213942050305,173.09895361562187,0
3233.0,341.69915695815234,175.80462169957266,209.6867792522608,1
